26,1,17
42,1,14
42,39,8
60,1,14
75,1,13
75,26,5
96,1,8
107,2,16
107,30,8
128,1,13
141,5,17
141,36,6
152,17,16
162,4,7
162,54,9
176,13,18
200,41,7
200,58,5
213,51,12
224,35,11
224,92,8
238,46,11
249,63,11
249,81,4
259,51,5
277,62,16
277,85,9
288,49,9
298,58,9
298,76,6
308,68,12
337,91,16
337,118,5
350,75,12
372,92,17
372,110,8
395,121,8
407,129,13
407,161,9
426,106,10
436,93,16
436,147,9
452,80,8
472,100,8
472,119,5
487,76,16
507,98,12
507,120,8
522,78,9
548,101,16
548,122,9
559,116,9
580,139,7
580,162,8
606,105,17
618,123,12
618,139,9
629,129,17
648,148,17
648,167,7
669,125,9
691,147,10
691,163,3
716,120,12
732,132,10
732,151,7
744,143,11
760,120,14
760,194,4
772,130,12
782,145,9
782,177,3
806,171,5
825,145,15
825,203,7
835,160,11
862,182,15
862,209,4
877,160,15
902,183,13
902,213,4
919,157,17
941,184,11
941,215,6
958,198,13
971,216,12
971,240,8
999,181,10
1021,206,10
1021,239,9
1039,183,13
1066,156,11
1066,226,8
1077,167,14
1102,192,8
1102,209,6
1130,220,12
1151,190,14
1151,264,9
1172,77,108
