26085,25337,1386
115841,114906,1746
115841,117352,770
115841,118946,1869
152274,151546,1584
152274,154896,1509
164836,138310,1597
164836,165948,929
251811,51297,1453
251811,228487,503
285145,18018,1352
285145,86550,710
285145,88847,1930
353712,86614,1294
422919,155540,1656
422919,158063,853
422919,158807,1181
512908,245869,1566
512908,248662,1516
565906,192342,1436
565906,300607,718
621774,136158,1429
621774,251085,1895
669330,183684,1782
669330,186545,761
669330,188513,1355
689901,204485,1184
706346,220932,1615
706346,223166,964
706346,223950,1834
733109,193423,1646
733109,252168,553
795432,131171,1482
795432,257599,631
872261,208103,1531
872261,211143,851
905823,173649,1720
905823,243328,896
905823,245899,1686
1001802,269927,1132
1015522,255389,1470
1015522,285937,755
1015522,287363,800
1081390,321232,1471
1081390,324795,1315
1091837,331801,1644
1091837,334368,616
1105884,346044,1390
1105884,350385,1010
1139666,311275,1820
1139666,381959,532
1139666,383245,538
1160164,332090,1554
1213287,384973,1890
1213287,387428,649
1213287,388085,973
1267877,439474,1555
1267877,443752,1100
1358536,348243,1376
1358536,532944,997
1442007,431765,1073
1442007,435784,873
1468267,404652,1550
1468267,459566,955
1468267,461393,796
1531750,341155,1643
1608451,417764,1896
1608451,419937,927
1608451,421169,1275
1623007,402611,1145
1623007,436568,1819
1653933,371553,1645
1653933,435402,619
1752949,470648,1248
1752949,475009,563
1852593,570375,1472
1852593,572252,718
1852593,573789,1404
1863745,581250,1671
1897520,546763,1393
1897520,616870,972
1897520,619613,1963
1994330,449827,1583
1994330,648026,1285
2046951,397441,1527
2046951,504790,773
2116869,467210,1467
2116869,470845,1447
2193929,544312,1289
2193929,546390,796
2193929,547429,906
2275722,625961,1395
2293701,607281,1681
2293701,646187,910
2293701,648465,1328
2320903,634620,1238
2320903,638390,1022
2343251,611593,1395
2343251,658894,841
2408731,677050,1603
2408731,680587,1988
2444693,640401,1682
2444693,715177,856
2444693,717444,1815
2514986,710467,1591
2602607,622141,1223
2602607,800959,741
2602607,802257,1522
2659768,679138,1615
2659768,683300,1823
2703818,723432,1418
2703818,725591,892
2801865,624404,1611
2801865,824938,536
2814957,611373,1638
2814957,639993,528
2814957,641426,1005
2867686,558601,1603
2948778,640131,1252
2948778,641969,751
2948778,644501,969
3048637,539331,1599
3048637,743881,582
3115492,472530,1656
3115492,608186,508
3210209,377746,1494
3210209,570512,1260
3254923,422753,1251
3254923,425336,545
3254923,426804,1874
3350282,518079,1489
3394262,561955,1434
3394262,564665,711
3394262,566394,1504
3432488,523113,1150
3432488,603897,587
3454196,544718,1259
3454196,546495,937
3526279,471817,1350
3526279,619865,1716
3596244,542038,1288
3596244,543647,574
3596244,544813,1328
3631500,505877,1786
3664486,473169,1363
3664486,541356,658
3664486,543608,1034
3723710,532476,1358
3723710,536399,1643
3760045,568830,1068
3760045,571261,732
3813977,622581,1509
3813977,626433,684
3840854,595105,1131
3840854,651260,807
3840854,653168,1902
3851642,605612,1501
3941574,514918,1554
3941574,697540,577
3941574,700362,1283
4036583,609775,1812
4036583,613060,1488
4063381,582058,1682
4063381,639045,979
4138041,656843,1360
4138041,660004,1662
4177287,696181,1625
4177287,698033,684
4177287,700870,1791
4275533,794431,1280
4343595,725790,1197
4343595,864737,565
4343595,866200,1660
4425924,808024,1233
4425924,811265,1262
4481065,863318,1471
4481065,864842,786
4534481,916723,1337
4534481,919860,1021
4563634,886921,1504
4563634,948154,775
4563634,949802,1253
4597120,853558,1096
4674417,776108,1656
4674417,933269,831
4674417,935131,568
4757703,859240,1751
4757703,863115,1580
4815137,801081,1371
4815137,919193,915
4892066,878039,1218
4892066,881311,1526
4950024,935988,1375
4950024,938373,707
4950024,939182,1286
5034066,850967,1737
5108104,925168,1540
5108104,927827,510
5108104,928630,1170
5119873,912409,1570
5119873,941676,1606
5189653,842798,1750
5189653,985004,810
5207252,860271,1885
5207252,864752,1641
5301799,764893,1805
5301799,957339,817
5301799,958245,542
5326847,789846,1840
5375501,838505,1760
5375501,840457,797
5375501,842052,812
5394255,818845,1701
5394255,861394,1790
5419453,844345,1433
5419453,846769,642
5444632,818554,1186
5444632,872649,778
5483443,857402,1093
5483443,859869,554
5483443,861635,700
5534996,908732,1336
5603384,977023,1729
5603384,979452,606
5603384,980359,1421
5621372,958365,1392
5621372,999820,1656
5656618,993293,1893
5656618,996181,698
5702048,1038764,1787
5702048,1042957,927
5761017,1097776,1878
5761017,1100346,584
5761017,1101821,1968
5783734,1074158,1706
5854244,1144975,1453
5854244,1146914,774
5854244,1148099,1540
5899968,1190494,1320
5899968,1193712,1028
5987936,1101853,1588
5987936,1281031,667
6049508,1163391,1364
6049508,1166944,1742
6134981,1076988,1472
6134981,1251329,634
6134981,1252888,895
6150491,1092654,1609
6219866,1161822,1753
6219866,1164078,692
6219866,1165512,1346
6292643,1088169,1802
6292643,1238503,943
6340234,1135883,1525
6340234,1138266,913
6386469,1182293,1331
6386469,1186306,556
6447343,1242890,1544
6447343,1245051,988
6447343,1246400,1744
6494140,1195562,1319
6552576,1137050,1217
6552576,1256266,945
6552576,1257941,1295
6590715,1174935,1656
6590715,1178722,1105
6651678,1113123,1427
6651678,1238704,909
6665075,1126483,1807
6665075,1130041,1348
6691416,1099205,1722
6691416,1155139,849
6691416,1156232,812
6782058,1190097,1466
6842464,1250602,1403
6842464,1252293,960
6842464,1255096,1053
6916085,1323844,1963
6916085,1328024,1689
6956754,1282559,1546
6956754,1366879,529
7009818,1229549,1365
7009818,1339052,1542
7039546,1259139,1343
7039546,1261770,710
7039546,1263361,769
7055726,1275143,1804
7068725,1261270,1520
7068725,1290226,839
7068725,1291511,1371
7097084,1289562,1720
7097084,1293525,1079
7144529,1337117,1575
7144529,1339577,866
7217994,1410497,1643
7217994,1413829,1777
7292169,1335329,1705
7292169,1486588,926
7292169,1489018,748
7305676,1320816,2794
